order_date,region,state,revenue,customer_age
2024-01-01,Southeast,FL,1051.26,65.1
2024-01-02,West,CA,1284.93,38.3
2024-01-03,Midwest,il,1149.56,53.3
2024-01-04,Southeast,Florida,923.96,27.5
2024-01-05,Northeast, New York,1179.24,47.4
2024-01-06,Northeast, New York,1391.29,27.4
2024-01-07,Northeast, New York,1122.97,32.5
2024-01-08,West,CA,1299.22,63.0
2024-01-09,Midwest,IL,1204.92,37.7
2024-01-10,Midwest,IL,961.12,42.6
2024-01-11,Northeast, New York,1078.03,50.4
2024-01-12,West,CA,1241.58,45.9
2024-01-13,West,CA,1024.82,41.8
2024-01-14,Northeast,New York,1531.17,44.4
2024-01-15,Northeast,NY,1109.84,68.8
2024-01-16,Northeast,NY,1262.59,39.3
2024-01-17,Northeast,NY,1356.79,42.4
2024-01-18,Southeast,fl,1066.55,52.6
2024-01-19,Southeast,Florida,995.49,53.3
2024-01-20,Northeast,New York,1459.93,54.2
2024-01-21,Midwest,il,909.86,47.7
2024-01-22,Northeast, New York,,26.3
2024-01-23,Northeast,New York,1395.04,59.6
2024-01-24,Southeast,FL,1157.67,26.2
2024-01-25,Southeast,Florida,1190.74,43.6
2024-01-26,Midwest,IL,918.8,30.9
2024-01-27,Northeast,ny,1160.88,39.2
2024-01-28,Southeast,FL,1286.15,43.9
2024-01-29,Southeast,Florida,1147.85,43.9
2024-01-30,Northeast,New York,1289.23,45.1
2024-01-31,Midwest,IL,1337.67,59.4
2024-02-01,Northeast,ny,1425.85,45.4
2024-02-02,Northeast,ny,1588.89,37.1
2024-02-03,West,California,1125.63,51.6
2024-02-04,West,CA,1428.11,54.3
2024-02-05,West,ca,1385.8,25.3
2024-02-06,Northeast,New York,1388.66,200.0
2024-02-07,Northeast,New York,1575.24,48.4
2024-02-08,Midwest,il,1229.81,
2024-02-09,Southeast,fl,1341.79,56.5
2024-02-10,Northeast,ny,1295.26,38.2
2024-02-11,Southeast,FL,1246.41,41.5
2024-02-12,Northeast,NY,1605.76,37.9
2024-02-13,West,California,886.69,40.2
2024-02-14,Northeast,ny,1276.51,26.8
2024-02-15,Midwest,il,851.62,22.7
2024-02-16,Northeast,NY,1420.59,59.1
2024-02-17,Southeast,fl,1272.13,29.8
2024-02-18,Southeast,Florida,1393.35,28.1
2024-02-19,Northeast,NY,1482.61,18.0
